[info] [2021-12-17T04:43:40.611Z] : neworder : {"category":"Normal","destinations":[{"locationName":"AP1","operation":"sound"}]}
[info] [2021-12-17T04:44:44.262Z] : neworder : {"category":"Park","intendedVehicle":"ch_agv_1","destinations":[{"locationName":"PP6","operation":"park"}]}
[info] [2021-12-17T04:46:24.648Z] : neworder : {"category":"Normal","destinations":[{"locationName":"AP1","operation":"sound"}]}
[info] [2021-12-17T04:47:52.300Z] : neworder : {"category":"Park","intendedVehicle":"ch_agv_1","destinations":[{"locationName":"PP6","operation":"park"}]}
[info] [2021-12-17T04:48:21.682Z] : neworder : {"category":"Normal","destinations":[{"locationName":"AP1","operation":"sound"}]}
[info] [2021-12-17T04:49:58.856Z] : neworder : {"category":"Park","intendedVehicle":"ch_agv_1","destinations":[{"locationName":"PP6","operation":"park"}]}
[info] [2021-12-17T04:51:20.719Z] : neworder : {"category":"Normal","destinations":[{"locationName":"AP1","operation":"sound"}]}
[info] [2021-12-17T04:52:49.070Z] : neworder : {"category":"Park","intendedVehicle":"ch_agv_1","destinations":[{"locationName":"PP6","operation":"park"}]}
[info] [2021-12-17T04:54:10.755Z] : neworder : {"category":"Normal","destinations":[{"locationName":"AP1","operation":"sound"}]}
[info] [2021-12-17T04:55:39.683Z] : neworder : {"category":"Park","intendedVehicle":"ch_agv_1","destinations":[{"locationName":"PP6","operation":"park"}]}
[info] [2021-12-17T04:56:37.783Z] : neworder : {"category":"Normal","destinations":[{"locationName":"AP1","operation":"sound"}]}
[info] [2021-12-17T04:58:26.956Z] : neworder : {"category":"Park","intendedVehicle":"ch_agv_1","destinations":[{"locationName":"PP6","operation":"park"}]}
[info] [2021-12-17T04:59:30.818Z] : neworder : {"category":"Normal","destinations":[{"locationName":"AP1","operation":"sound"}]}
[info] [2021-12-17T05:01:40.306Z] : neworder : {"category":"Park","intendedVehicle":"ch_agv_1","destinations":[{"locationName":"PP6","operation":"park"}]}
