[info] [2021-12-24T02:11:58.623Z] : Service start.
[warn] [2021-12-24T02:11:58.626Z] : Service start warn.
[error] [2021-12-24T02:11:58.627Z] : Service start error.
[info] [2021-12-24T02:12:46.982Z] : Service start.
[warn] [2021-12-24T02:12:46.985Z] : Service start warn.
[error] [2021-12-24T02:12:46.986Z] : Service start error.
[info] [2021-12-24T02:12:57.875Z] : neworder : {"category":"Normal","destinations":[{"locationName":"AP2","operation":"sound"},{"locationName":"AP4","operation":"sound"}]}
[info] [2021-12-24T02:14:27.461Z] : Service start.
[warn] [2021-12-24T02:14:27.467Z] : Service start warn.
[error] [2021-12-24T02:14:27.468Z] : Service start error.
[info] [2021-12-24T02:14:44.092Z] : neworder : {"category":"Normal","destinations":[{"locationName":"AP2","operation":"sound"},{"locationName":"AP4","operation":"sound"}]}
[info] [2021-12-24T02:41:59.656Z] : Service start.
[warn] [2021-12-24T02:41:59.663Z] : Service start warn.
[error] [2021-12-24T02:41:59.664Z] : Service start error.
[info] [2021-12-24T02:42:15.137Z] : neworder : {"category":"Normal","destinations":[{"locationName":"AP4","operation":"sound"}]}
[info] [2021-12-24T02:42:51.201Z] : Service start.
[warn] [2021-12-24T02:42:51.205Z] : Service start warn.
[error] [2021-12-24T02:42:51.205Z] : Service start error.
[info] [2021-12-24T02:43:00.710Z] : neworder : {"category":"Normal","destinations":[{"locationName":"AP4","operation":"sound"}]}
[info] [2021-12-24T02:44:24.370Z] : neworder : {"category":"Park","intendedVehicle":"ch_agv_1","destinations":[{"locationName":"PP7","operation":"park"}]}
[info] [2021-12-24T02:46:12.895Z] : neworder : {"category":"Normal","destinations":[{"locationName":"AP2","operation":"sound"},{"locationName":"AP4","operation":"sound"}]}
[info] [2021-12-24T02:49:56.307Z] : neworder : {"category":"Park","intendedVehicle":"ch_agv_1","destinations":[{"locationName":"PP7","operation":"park"}]}
[info] [2021-12-24T02:51:41.573Z] : neworder : {"category":"Normal","destinations":[{"locationName":"AP2","operation":"sound"},{"locationName":"AP4","operation":"sound"}]}
[info] [2021-12-24T02:55:25.795Z] : neworder : {"category":"Park","intendedVehicle":"ch_agv_1","destinations":[{"locationName":"PP7","operation":"park"}]}
[info] [2021-12-24T02:56:56.604Z] : neworder : {"category":"Normal","destinations":[{"locationName":"AP2","operation":"sound"},{"locationName":"AP4","operation":"sound"}]}
[info] [2021-12-24T03:00:40.056Z] : neworder : {"category":"Park","intendedVehicle":"ch_agv_1","destinations":[{"locationName":"PP7","operation":"park"}]}
[info] [2021-12-24T03:01:54.640Z] : neworder : {"category":"Normal","destinations":[{"locationName":"AP2","operation":"sound"},{"locationName":"AP4","operation":"sound"}]}
[info] [2021-12-24T03:05:41.442Z] : neworder : {"category":"Park","intendedVehicle":"ch_agv_1","destinations":[{"locationName":"PP7","operation":"park"}]}
[info] [2021-12-24T03:30:03.510Z] : Service start.
[warn] [2021-12-24T03:30:03.514Z] : Service start warn.
[error] [2021-12-24T03:30:03.515Z] : Service start error.
[info] [2021-12-24T03:30:45.102Z] : neworder : {"category":"Normal","destinations":[{"locationName":"AP2","operation":"sound"},{"locationName":"AP4","operation":"sound"}]}
[info] [2021-12-24T03:34:28.586Z] : neworder : {"category":"Park","intendedVehicle":"ch_agv_1","destinations":[{"locationName":"PP7","operation":"park"}]}
