[info] [2021-12-03T06:20:20.077Z] : Service start.
[warn] [2021-12-03T06:20:20.082Z] : Service start warn.
[error] [2021-12-03T06:20:20.083Z] : Service start error.
[info] [2021-12-03T06:20:44.613Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:45.115Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:45.628Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:46.135Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:46.642Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:47.155Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:47.658Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:48.172Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:48.684Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:49.189Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:49.701Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:50.213Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:50.727Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:51.232Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:51.746Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:52.251Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:52.766Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:53.281Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:53.796Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:54.301Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:54.820Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:55.338Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:55.846Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:56.349Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:56.863Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:57.368Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:20:57.873Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
